Datetime,TairF,TairC
5/13/2022 21:20,80,26.66666667
5/13/2022 21:25,79,26.11111111
5/13/2022 21:30,79,26.11111111
5/13/2022 21:35,79,26.11111111
5/13/2022 21:40,79,26.11111111
5/13/2022 21:45,78,25.55555556
5/13/2022 21:50,78,25.55555556
5/13/2022 21:55,78,25.55555556
5/13/2022 22:00,78,25.55555556
5/13/2022 22:05,78,25.55555556
5/13/2022 22:10,77,25
5/13/2022 22:15,78,25.55555556
5/13/2022 22:20,77,25
5/13/2022 22:25,77,25
5/13/2022 22:30,76,24.44444444
5/13/2022 22:35,76,24.44444444
5/13/2022 22:40,76,24.44444444
5/13/2022 22:45,76,24.44444444
5/13/2022 22:50,76,24.44444444
5/13/2022 22:55,75,23.88888889
5/13/2022 23:00,75,23.88888889
5/13/2022 23:05,73,22.77777778
5/13/2022 23:10,71,21.66666667
5/13/2022 23:15,70,21.11111111
5/13/2022 23:20,69,20.55555556
5/13/2022 23:25,69,20.55555556
5/13/2022 23:30,68,20
5/13/2022 23:35,67,19.44444444
5/13/2022 23:40,66,18.88888889
5/13/2022 23:45,65,18.33333333
5/13/2022 23:50,65,18.33333333
5/13/2022 23:55,64,17.77777778
5/14/2022 0:00,64,17.77777778
5/14/2022 0:05,64,17.77777778
5/14/2022 0:10,64,17.77777778
5/14/2022 0:15,63,17.22222222
5/14/2022 0:20,63,17.22222222
5/14/2022 0:25,65,18.33333333
5/14/2022 0:30,67,19.44444444
5/14/2022 0:35,66,18.88888889
5/14/2022 0:40,64,17.77777778
5/14/2022 0:45,64,17.77777778
5/14/2022 0:50,63,17.22222222
5/14/2022 0:55,64,17.77777778
5/14/2022 1:00,64,17.77777778
5/14/2022 1:05,65,18.33333333
5/14/2022 1:10,67,19.44444444
5/14/2022 1:15,65,18.33333333
5/14/2022 1:20,65,18.33333333
5/14/2022 1:25,64,17.77777778
5/14/2022 1:30,65,18.33333333
5/14/2022 1:35,64,17.77777778
5/14/2022 1:40,65,18.33333333
5/14/2022 1:45,62,16.66666667
5/14/2022 1:50,62,16.66666667
5/14/2022 1:55,63,17.22222222
5/14/2022 2:00,60,15.55555556
5/14/2022 2:05,62,16.66666667
5/14/2022 2:10,60,15.55555556
5/14/2022 2:15,59,15
5/14/2022 2:20,58,14.44444444
5/14/2022 2:25,60,15.55555556
5/14/2022 2:30,61,16.11111111
5/14/2022 2:35,59,15
5/14/2022 2:40,59,15
5/14/2022 2:45,60,15.55555556
5/14/2022 2:50,59,15
5/14/2022 2:55,60,15.55555556
5/14/2022 3:00,60,15.55555556
5/14/2022 3:05,61,16.11111111
5/14/2022 3:10,61,16.11111111
5/14/2022 3:15,60,15.55555556
5/14/2022 3:20,59,15
5/14/2022 3:25,60,15.55555556
5/14/2022 3:30,58,14.44444444
5/14/2022 3:35,59,15
5/14/2022 3:40,56,13.33333333
5/14/2022 3:45,57,13.88888889
5/14/2022 3:50,58,14.44444444
5/14/2022 3:55,60,15.55555556
5/14/2022 4:00,60,15.55555556
5/14/2022 4:05,59,15
5/14/2022 4:10,59,15
5/14/2022 4:15,58,14.44444444
5/14/2022 4:20,58,14.44444444
5/14/2022 4:25,58,14.44444444
5/14/2022 4:30,57,13.88888889
5/14/2022 4:35,58,14.44444444
5/14/2022 4:40,58,14.44444444
5/14/2022 4:45,58,14.44444444
